School,Nickname,Full Name
University at Albany/ SUNY/Albany/ UAlbany/Albany NY,Great Danes,University at Albany Great Danes
University of Miami /Miami /Miami FL/ UM/Miami Florida Hurricanes,Hurricanes,University of Miami Florida Hurricanes
Miami University/OH/Miami OH/Mimi Ohio,RedHawks,Miami University RedHawks
University of South Carolina/South Carolina Gamecocks,Gamecocks,University of South Carolina Gamecocks
University of Massachusetts Amherst/UMass,Minutemen,University of Massachusetts Amherst Minutemen
University of Washington/UW/ U-Dub,Huskies,University of Washington Huskies
Ohio University,Bobcats,Ohio University Bobcats
University of Maryland/ College Park/Maryland,Terrapins,University of Maryland Terrapins
University of Louisiana at Lafayette/Louisiana/UL Lafayette/Louisiana-Lafayette,Ragin' Cajuns,University of Louisiana at Lafayette Rajun' Cajuns
Loyola University Maryland/Loyola Maryland,Greyhounds,Loyola University Maryland Greyhounds
Eastern Illinois University,Panthers,Eastern Illinois University Panthers
California Baptist University/CBU,Lancers,California Baptist University Lancers
University of Texas at Austin,Longhorns,University of Texas at Austin Longhorns
University of San Diego,Toreros,University of San Diego Toreros
Binghamton University,Bearcats,Binghamton University Bearcats
Bryant University,Bulldogs,Bryant University Bulldogs
University of Maine/UMaine,Black Bears,University of Maine Black Bears
University of Maryland/ Baltimore County/UMBC/MD Baltimore,Retrievers,University of Maryland Retrievers
University of Massachusetts Lowell /UMASS Lowell,River Hawks,University of Massachusetts Lowell River Hawks
University of New Hampshire,Wildcats,University of New Hampshire Wildcats
New Jersey Institute of Technology/NJIT,Highlanders,New Jersey Institute of Technology Highlanders
University of Vermont,Catamounts,University of Vermont Catamounts
University of North Carolina at Charlotte/Charlotte,49ers,University of North Carolina at Charlotte 49ers
East Carolina University/ECU,Pirates,East Carolina University Pirates
Florida Atlantic University/FAU/Florida Atlantic Owls,Owls,Florida Atlantic University Owls
University of Memphis /U of M,Tigers,University of Memphis Tigers
University of North Texas/UNT/N Texas,Mean Green,University of North Texas Mean Green
Rice University,Owls,Rice University Owls
University of South Florida/USF,Bulls,University of South Florida Bulls
Southern Methodist University/SMU,Mustangs,Southern Methodist University Mustangs
Temple University,Owls,Temple University Owls
University of Alabama at Birmingham/UAB,Blazers,University of Alabama at Birmingham (UAB) Blazers
University of San Antonio/UTSA/Texas San Antonio,Roadrunners,University of San Antonio Roadrunners
Tulane University,Green Wave,Tulane University Green Wave
University of Tulsa,Golden Hurricane,University of Tulsa Golden Hurricane
