Full Name,AbbName,AbbName2,AbbName3
Atlanta Hawks,ATL Hawks,,
Boston Celtics,BOS Celtics,,
Brooklyn Nets,BKN Nets,,
Charlotte Hornets,CHA Hornets,,
Chicago Bulls,CHI Bulls,,
Cleveland Cavaliers,CLE Cavaliers,,
Dallas Mavericks,DAL Mavericks,,
Denver Nuggets,DEN Nuggets,,
Detroit Pistons,DET Pistons,,
Golden State Warriors,GSW Warriors,GS Warriors,
Houston Rockets,HOU Rockets,,
Indiana Pacers,IND Pacers,,
Los Angeles Clippers,LAC Clippers,LA Clippers,
Los Angeles Lakers,LAL Lakers,LA Lakers,
Memphis Grizzlies,MEM Grizzlies,,
Miami Heat,MIA Heat,,
Milwaukee Bucks,MIL Bucks,,
Minnesota Timberwolves,MIN Timberwolves,,
New Orleans Pelicans,NOP Pelicans,NO Pelicans,
New York Knicks,NYK Knicks,NY Knicks,
Oklahoma City Thunder,OKC Thunder,,
Orlando Magic,ORL Magic,,
Philadelphia 76ers,PHI 76ers,,
Phoenix Suns,PHX Suns,PHO Suns,
Portland Trail Blazers,POR Trail Blazers,,
Sacramento Kings,SAC Kings,,
San Antonio Spurs,SAS Spurs,SA Spurs,
Toronto Raptors,TOR Raptors,,
Utah Jazz,UTA Jazz,UTAH Jazz,
Washington Wizards,WAS Wizards,,
