Full Name,AbbName,AbbName2,AbbName3
Boston Bruins,BOS Bruins,,
Buffalo Sabres,BUF Sabres,,
Detroit Red Wings,DET Red Wings,,
Florida Panthers,FLA Panthers,,
Montreal Canadiens,MTL Canadiens,,
Ottawa Senators,OTT Senators,,
Tampa Bay Lightning,TBL Lightning,TB Lightning,
Toronto Maple Leafs,TOR Maple Leafs,,
Carolina Hurricanes,CAR Hurricanes,,
Columbus Blue Jackets,CBJ Blue Jackets,CLB Blue Jackets,
New Jersey Devils,NJD Devils,NJ Devils,
New York Islanders,NYI Islanders,NY Islanders,
New York Rangers,NYR Rangers,NY Rangers,
Philadelphia Flyers,PHI Flyers,,
Pittsburgh Penguins,PIT Penguins,,
Washington Capitals,WSH Capitals,WAS Capitals,
Arizona Coyotes,ARI Coyotes,,
Chicago Blackhawks,CHI Blackhawks,,
Colorado Avalanche,COL Avalanche,,
Dallas Stars,DAL Stars,,
Minnesota Wild,MIN Wild,,
Nashville Predators,NSH Predators,,
St Louis Blues,STL Blues,St. Louis Blues,
Winnipeg Jets,WPG Jets,,
Anaheim Ducks,ANA Ducks,,
Calgary Flames,CGY Flames,,
Edmonton Oilers,EDM Oilers,,
Los Angeles Kings,LAK Kings,LA Kings,
San Jose Sharks,SJS Sharks,SJ Sharks,
Seattle Kraken,SEA Kraken,,
Vancouver Canucks,VAN Canucks,,
Vegas Golden Knights,VGK Golden Knights,VEG Golden Knights,VGS Golden Knights
